a,-1,padding
a,0,padding
a,1,x1
a,2,padding
a,3,x2
a,4,padding
a,5,padding
a,6,padding
a,7,padding
a,8,padding
a,9,padding
a,10,padding
a,11,padding
b,-1,padding
b,0,padding
b,1,padding
b,2,padding
b,3,padding
b,4,padding
b,5,padding
b,6,padding
b,7,padding
b,8,x9
b,9,x10
b,10,x11
b,11,padding
a,-1,padding
a,0,padding
a,1,padding
a,2,padding
a,3,padding
a,4,x3
a,5,padding
a,6,x4
a,7,padding
a,8,padding
a,9,x5
a,10,padding
a,11,padding
b,-1,padding
b,0,padding
b,1,padding
b,2,padding
b,3,x6
b,4,padding
b,5,x7
b,6,padding
b,7,x8
b,8,padding
b,9,padding
b,10,padding
b,11,padding
