padding,20100930,padding,padding
a,20101001,x1,y1
padding,20101002,padding,padding
padding,20101003,padding,padding
padding,20101004,padding,padding
a,20101005,x2,y2
padding,20101006,padding,padding
padding,20101007,padding,padding
padding,20101008,padding,padding
padding,20101009,padding,padding
padding,20101010,padding,padding
padding,20101011,padding,padding
padding,20101012,padding,padding
padding,20101013,padding,padding
padding,20101014,padding,padding
padding,20101015,padding,padding
padding,20101016,padding,padding
a,20101017,x5,y5
a,20101006,x2,y2
padding,20101007,padding,padding
padding,20101008,padding,padding
a,20101009,x3,y3
padding,20101010,padding,padding
padding,20101011,padding,padding
padding,20101012,padding,padding
padding,20101013,padding,padding
padding,20101014,padding,padding
a,20101015,x4,y4
padding,20101016,padding,padding
padding,20101017,padding,padding
padding,20101018,padding,padding
padding,20101019,padding,padding
padding,20101020,padding,padding
