a,131025,x1
a,131026,x1
a,131027,x1
a,131028,x1
a,131029,x2
b,131103,x9
b,131104,x10
b,131105,x11
a,131030,x3
a,131031,x3
a,131032,x3
a,131033,x3
a,131034,x3
a,131035,x3
a,131036,x3
a,131037,x3
a,131038,x3
a,131039,x3
a,131040,x3
a,131041,x3
a,131042,x3
a,131043,x3
a,131044,x3
a,131045,x3
a,131046,x3
a,131047,x3
a,131048,x3
a,131049,x3
a,131050,x3
a,131051,x3
a,131052,x3
a,131053,x3
a,131054,x3
a,131055,x3
a,131056,x3
a,131057,x3
a,131058,x3
a,131059,x3
a,131100,x3
a,131101,x3
a,131102,x4
a,131103,x5
b,131101,x6
b,131102,x7
b,131102,x8
