a,20131107,x1
a,20131106,x1
a,20131105,x1
a,20131104,x1
a,20131103,x1
a,20131102,x1
a,20131101,x1
a,20131031,x1
a,20131030,x1
a,20131029,x1
a,20131028,x1
a,20131027,x1
a,20131026,x1
a,20131025,x1
a,20131029,x2
b,20131107,x10
b,20131106,x10
b,20131105,x10
b,20131104,x10
b,20131105,x11
a,20131107,x3
a,20131106,x3
a,20131105,x3
a,20131104,x3
a,20131103,x3
a,20131102,x3
a,20131101,x3
a,20131031,x3
a,20131030,x3
a,20131102,x4
a,20131103,x5
b,20131107,x6
b,20131106,x6
b,20131105,x6
b,20131104,x6
b,20131103,x6
b,20131102,x6
b,20131101,x6
b,20131102,x7
b,20131102,x8
b,20131103,x9
