a,101109,x1,y1
a,101108,x1,y1
a,101107,x1,y1
a,101106,x1,y1
a,101105,x1,y1
a,101104,x1,y1
a,101103,x1,y1
a,101102,x1,y1
a,101101,x1,y1
a,101100,x1,y1
a,101059,x1,y1
a,101058,x1,y1
a,101057,x1,y1
a,101056,x1,y1
a,101055,x1,y1
a,101054,x1,y1
a,101053,x1,y1
a,101052,x1,y1
a,101051,x1,y1
a,101050,x1,y1
a,101107,x4,y4
a,101109,x5,y5
a,101108,x5,y5
a,101107,x5,y5
a,101106,x5,y5
a,101105,x5,y5
a,101104,x5,y5
a,101103,x5,y5
a,101102,x5,y5
a,101101,x5,y5
a,101100,x5,y5
a,101059,x5,y5
a,101058,x5,y5
a,101057,x5,y5
a,101056,x5,y5
a,101055,x2,y2
a,101101,x3,y3
a,101103,x3,y3
a,101102,x3,y3
a,101101,x3,y3
a,101100,x3,y3
a,101059,x3,y3
a,101058,x3,y3
a,101057,x3,y3
a,101056,x3,y3
a,101055,x3,y3
a,101054,x3,y3
a,101053,x3,y3
a,101052,x3,y3
a,101051,x3,y3
a,101050,x3,y3
