,101111,,
,101110,,
,101109,,
,101108,,
,101107,,
,101106,,
,101105,,
,101104,,
,101103,,
,101102,,
,101101,,
,101100,,
,101059,,
,101058,,
,101057,,
,101056,,
,101055,,
,101054,,
,101053,,
,101052,,
,101051,,
a,101050,x1,y1
a,101107,x4,y4
a,101109,x5,y5
,101108,,
,101107,,
,101106,,
,101105,,
,101104,,
,101103,,
,101102,,
,101101,,
,101100,,
,101059,,
,101058,,
,101057,,
,101056,,
a,101055,x2,y2
a,101101,x3,y3
a,101103,x3,y3
,101102,,
,101101,,
,101100,,
,101059,,
,101058,,
,101057,,
,101056,,
,101055,,
,101054,,
,101053,,
,101052,,
,101051,,
,101050,,
,101049,,
,101048,,
