a,20131024,x1
a,20131025,x1
a,20131026,x1
a,20131027,x1
a,20131028,x1
a,20131029,x2
b,20131024,x10
b,20131025,x10
b,20131026,x10
b,20131027,x10
b,20131028,x10
b,20131029,x10
b,20131030,x10
b,20131031,x10
b,20131101,x10
b,20131102,x10
b,20131103,x10
b,20131104,x10
b,20131105,x11
a,20131024,x3
a,20131025,x3
a,20131026,x3
a,20131027,x3
a,20131028,x3
a,20131029,x3
a,20131030,x3
a,20131031,x3
a,20131101,x3
a,20131102,x4
a,20131103,x5
b,20131024,x6
b,20131025,x6
b,20131026,x6
b,20131027,x6
b,20131028,x6
b,20131029,x6
b,20131030,x6
b,20131031,x6
b,20131101,x6
b,20131102,x7
b,20131102,x8
b,20131103,x9
