a%0,b%1,c
a,131020,x1
a,131021,x1
a,131022,x1
a,131023,x1
a,131024,x1
a,131025,x1
a,131026,x1
a,131027,x1
a,131028,x1
a,131029,x2
a,131030,x3
a,131031,x3
a,131032,x3
a,131033,x3
a,131034,x3
a,131035,x3
a,131036,x3
a,131037,x3
a,131038,x3
a,131039,x3
a,131040,x3
a,131041,x3
a,131042,x3
a,131043,x3
a,131044,x3
a,131045,x3
a,131046,x3
a,131047,x3
a,131048,x3
a,131049,x3
a,131050,x3
a,131051,x3
a,131052,x3
a,131053,x3
a,131054,x3
a,131055,x3
a,131056,x3
a,131057,x3
a,131058,x3
a,131059,x3
a,131100,x3
a,131101,x3
a,131102,x4
a,131103,x5
b,131020,x6
b,131021,x6
b,131022,x6
b,131023,x6
b,131024,x6
b,131025,x6
b,131026,x6
b,131027,x6
b,131028,x6
b,131029,x6
b,131030,x6
b,131031,x6
b,131032,x6
b,131033,x6
b,131034,x6
b,131035,x6
b,131036,x6
b,131037,x6
b,131038,x6
b,131039,x6
b,131040,x6
b,131041,x6
b,131042,x6
b,131043,x6
b,131044,x6
b,131045,x6
b,131046,x6
b,131047,x6
b,131048,x6
b,131049,x6
b,131050,x6
b,131051,x6
b,131052,x6
b,131053,x6
b,131054,x6
b,131055,x6
b,131056,x6
b,131057,x6
b,131058,x6
b,131059,x6
b,131100,x6
b,131101,x6
b,131102,x7
b,131102,x8
b,131103,x9
b,131104,x10
b,131105,x11
