A,1,1,86,129,1,1,1,0,1,0,0,,,,,
A,1,2,-0.1666666667,-0.25,-0.8746392857,-1,-1,36.36387493,0.8472573627,56.48,1,,,,,
A,1,3,17.33333333,26,0.3164384831,-0.5,-0.3333333333,45.65084884,-0.521983618,74,1,,,,,
A,2,1,-0.1666666667,-0.25,-0.8746392857,-1,-1,36.36387493,0.8472573627,56.48,1,,,,,
A,2,2,0.0004222222222,0.0006333333333,1,1,1,0,1,0,0,,,,,
A,2,3,0.02222222222,0.03333333333,0.1830936883,0.5,0.3333333333,14.38232944,-0.6719258683,17.52,1,,,,,
A,3,1,17.33333333,26,0.3164384831,-0.5,-0.3333333333,45.65084884,-0.521983618,74,1,,,,,
A,3,2,0.02222222222,0.03333333333,0.1830936883,0.5,0.3333333333,14.38232944,-0.6719258683,17.52,1,,,,,
A,3,3,34.88888889,52.33333333,1,1,1,0,1,0,0,,,,,
B,1,1,4.222222222,6.333333333,1,1,1,0,1,0,0,,,,,
B,1,2,-0.3244444444,-0.4866666667,-0.7919009884,-0.5,-0.3333333333,21.37455029,0.8782575583,36.42,1,,,,,
B,1,3,-2.777777778,-4.166666667,-0.471446429,-0.5,-0.3333333333,32.03123476,-0.9051543403,54,1,,,,,
B,2,1,-0.3244444444,-0.4866666667,-0.7919009884,-0.5,-0.3333333333,21.37455029,0.8782575583,36.42,1,,,,,
B,2,2,0.03975555556,0.05963333333,1,1,1,0,1,0,0,,,,,
B,2,3,-0.09444444444,-0.1416666667,-0.1651896746,-0.5,-0.3333333333,11.33011033,-0.8514129252,17.58,1,,,,,
B,3,1,-2.777777778,-4.166666667,-0.471446429,-0.5,-0.3333333333,32.03123476,-0.9051543403,54,1,,,,,
B,3,2,-0.09444444444,-0.1416666667,-0.1651896746,-0.5,-0.3333333333,11.33011033,-0.8514129252,17.58,1,,,,,
B,3,3,8.222222222,12.33333333,1,1,1,0,1,0,0,,,,,
