店,日付,時間,商品,細分類,数量,金額,乱数
B,20021204,103818,0000184,111113,5,271,104
B,20021204,103818,衣服,111113,5,271,102
B,20021204,103818,衣服,111113,5,271,100
C,20021204,103818,0000186,110143,1,459,110
C,20021204,103818,0000186,110143,1,459,106
C,20021204,103818,0000186,110143,1,459,110
C,20021204,103818,0000186,110143,1,459,104
A,20020816,,0000161,110407,,,105
D,20020816,123330,0000242,111605,1,292,104
B,,124440,,111501,1,125,103
,,124440,0000365,111209,1,,103
D,20020522,144621,0000184,140403,1,,101
C,20020522,144621,0000281,140797,1,,102
A,20021228,144621,0000395,140663,3,2,107
A,20020904,144621,0000179,140107,2,906,106
,,,,,,,101
D,20020511,151657,0000452,130203,1000,700,103
A,20020602,151657,0000452,140681,1,344,105
C,20020110,152531,0000281,140105,1,384,102
B,20020110,094456,,126573,77,24500,106
A,20020926,111935,0000777,111113,,,106
D,200208,2359,0002358,16093,500,500,109
D,200208,2359,0002358,16093,800,5500,105
E,20020926,111935,0000777,111113,,,107
E,200204,2359,0002358,16093,,,101
E,200204,2359,0002358,16093,,5,105
