A,20081202,2345,20111204,20121209,20121213,A,A,A
A,20111204,ああああ,20121209,20121213,20081205,A,A,B
A,20121209,"a a　ほへ<>""'(){~^=.:;}%|@_\#&",20121213,20081205,20081206,A,B,B
A,20121213,1234,20081205,20081206,20081207,B,B,B
B,20081205,222,20081206,20081207,20081203,B,B,
B,20081206,1234,20081207,20081203,20131224,B,,A
B,20081207,5,20081203,20131224,20081201,,A,B
,20081203,-2222,20131224,20081201,,A,B,B
A,20131224,4567,20081201,,20081204,B,B,
B,20081201,-12345,,20081204,20081205,B,,
B,,1.222222,20081204,20081205,20130206,,,魚
,20081204,,20081205,20130206,20130306,,魚,魚
,20081205,5555,20130206,20130306,20130406,魚,魚,魚
魚,20130206,1,20130306,20130406,20130416,魚,魚,魚
