A,20121213,1234,20121209,20111204,20081202,A,A,A
B,20081205,222,20121213,20121209,20111204,A,A,A
B,20081206,1234,20081205,20121213,20121209,B,A,A
B,20081207,5,20081206,20081205,20121213,B,B,A
,20081203,-2222,20081207,20081206,20081205,B,B,B
A,20131224,4567,20081203,20081207,20081206,,B,B
B,20081201,-12345,20131224,20081203,20081207,A,,B
B,,1.222222,20081201,20131224,20081203,B,A,
,20081204,,,20081201,20131224,B,B,A
,20081205,5555,20081204,,20081201,,B,B
魚,20130206,1,20081205,20081204,,,,B
魚,20130306,2,20130206,20081205,20081204,魚,,
魚,20130406,,20130306,20130206,20081205,魚,魚,
魚,20130416,4,20130406,20130306,20130206,魚,魚,魚
