顧客,日付%0,値,次日付1,次日付2,次日付3,次顧客1,次顧客2,次顧客3
B,,1.222222,20081201,20081202,20081203,B,A,
B,20081201,-12345,20081202,20081203,20081204,A,,
A,20081202,2345,20081203,20081204,20081205,,,
,20081203,-2222,20081204,20081205,20081205,,,B
,20081204,,20081205,20081205,20081206,,B,B
,20081205,5555,20081205,20081206,20081207,B,B,B
B,20081205,222,20081206,20081207,20111204,B,B,A
B,20081206,1234,20081207,20111204,20121209,B,A,A
B,20081207,5,20111204,20121209,20121213,A,A,A
A,20111204,ああああ,20121209,20121213,20130206,A,A,魚
A,20121209,"a a　ほへ<>""'(){~^=.:;}%|@_\#&",20121213,20130206,20130306,A,魚,魚
A,20121213,1234,20130206,20130306,20130406,魚,魚,魚
魚,20130206,1,20130306,20130406,20130416,魚,魚,魚
魚,20130306,2,20130406,20130416,20131224,魚,魚,A
